antecedents,consequents,support,confidence,lift,leverage,conviction
Milk,Cereal,0.09506666666666666,0.5844262295081968,2.5111410606195794,0.05720871111111111,1.8462827087442475
Cereal,Milk,0.09506666666666666,0.40847894586078487,2.5111410606195794,0.05720871111111111,1.4155596448748993
"Milk, Apple",Cereal,0.0142,0.556135770234987,2.3895836589873403,0.008257542222222223,1.7286066666666666
"Apple, Cereal",Milk,0.0142,0.4000000000000001,2.4590163934426235,0.008425333333333335,1.3955555555555559
"Milk, Banana",Cereal,0.0161,0.5992555831265508,2.574859280119812,0.009847231111111111,1.9146035087719295
"Banana, Cereal",Milk,0.0161,0.43086529884032115,2.6487620830347613,0.01002168888888889,1.4712392894461863
"Beans, Milk",Cereal,0.014366666666666666,0.5597402597402598,2.405071296506416,0.008393177777777778,1.7427590953785645
"Beans, Cereal",Milk,0.014366666666666666,0.371551724137931,2.284129451667609,0.008076888888888889,1.332382258802012
"Milk, Bread",Cereal,0.016133333333333333,0.605,2.5995416786021197,0.00992711111111111,1.9424472573839662
"Cereal, Bread",Milk,0.016133333333333333,0.422707423580786,2.598611210537619,0.00992488888888889,1.4504488149268784
"Butter, Milk",Cereal,0.0159,0.5888888888888889,2.5303160507972886,0.009616200000000002,1.8663243243243244
"Butter, Cereal",Milk,0.0159,0.4104991394148021,2.523560283287718,0.009599377777777779,1.4204107055961073
"Milk, Cheese",Cereal,0.016,0.5811138014527845,2.496908341962695,0.009592075555555557,1.8316828516377648
"Cheese, Cereal",Milk,0.016,0.40268456375838924,2.4755198591704257,0.009536711111111111,1.4018277153558052
"Chicken, Milk",Cereal,0.015666666666666666,0.5889724310776943,2.530675011791869,0.009475959999999999,1.8667036585365855
"Chicken, Cereal",Milk,0.015666666666666666,0.41373239436619713,2.543436850611868,0.009507022222222222,1.4282442442442442
"Milk, Chickpeas",Cereal,0.0151,0.5690954773869347,2.4452684505310858,0.008924808888888889,1.7805955296404274
"Chickpeas, Cereal",Milk,0.0151,0.40482573726541554,2.4886828110578825,0.009032533333333335,1.406870870870871
"Chips, Milk",Cereal,0.014633333333333333,0.5679172056921087,2.4402056961849414,0.008636571111111113,1.7757399201596806
"Chips, Cereal",Milk,0.014633333333333333,0.3827375762859634,2.3528949361842013,0.008414044444444446,1.356527306967985
"Milk, Chocolate",Cereal,0.015433333333333334,0.5868187579214195,2.521421188433484,0.009312446666666668,1.8569736196319016
"Cereal, Chocolate",Milk,0.015433333333333334,0.3964041095890411,2.4369105097686954,0.009100177777777779,1.387241607565012
"Milk, Cola",Cereal,0.015333333333333332,0.5912596401028277,2.540502607144777,0.00929778222222222,1.8771492662473792
"Cereal, Cola",Milk,0.015333333333333332,0.40816326530612246,2.5092004014720644,0.009222488888888889,1.4148045977011494
"Milk, Cookie",Cereal,0.0168,0.5773195876288659,2.480605503991117,0.010027459999999998,1.8152406504065037
"Cookie, Cereal",Milk,0.0168,0.4394071490845684,2.701273457487101,0.01058071111111111,1.4936568170036286
"Milk, Cracker",Cereal,0.0144,0.572944297082228,2.46180591699611,0.008550635555555556,1.7966430641821942
"Cereal, Cracker",Milk,0.0144,0.38028169014084506,2.337797275456015,0.008240355555555556,1.351151515151515
"Milk, Cucumber",Cereal,0.0156,0.5961783439490446,2.5616371123562502,0.009510144444444445,1.9000136698212406
"Cucumber, Cereal",Milk,0.0156,0.4041450777202072,2.4844984286078313,0.009321066666666666,1.405263768115942
"Detergent, Milk",Cereal,0.0148,0.5849802371541503,2.513521500232671,0.008911846666666667,1.848747301587302
"Detergent, Cereal",Milk,0.0148,0.41611996251171507,2.5581145236375926,0.00901448888888889,1.434084537185661
"Milk, Dish Sponge",Cereal,0.014533333333333334,0.592391304347826,2.545365100320078,0.00882360888888889,1.8823608888888888
"Cereal, Dish Sponge",Milk,0.014533333333333334,0.39926739926739924,2.4545127004143397,0.008612266666666667,1.3938536585365853
"Milk, Dumpling",Cereal,0.014866666666666667,0.5799739921976593,2.49201085160839,0.008900935555555555,1.8267122807017544
"Dumpling, Cereal",Milk,0.014866666666666667,0.39434129089301506,2.4242292472931255,0.008734133333333335,1.382516788321168
